unique_id,First Name of Parent1,Last Name of Parent1,First Name of Parent2,Last Name of Parent2,date_of_birth,contact number,income
200001,Loy,Birdall,Genna,Leggat,25/03/2017,798 918 1870,3224824.0
200002,Kayne,Coxen,Sella,Petworth,03/09/2020,829 554 4828,6121186.0
200003,Immanuel,Bengle,Consuelo,Goullee,20/08/2016,382 848 3825,5561605.49
200004,Pietrek,Spellar,Claudina,Opy,10/05/2016,798 502 0046,1294284.16
200005,Willy,Hardwidge,Kameko,Challicombe,24/09/2009,284 931 0143,9855167.0
200006,Baily,Widdup,Corrinne,Dyster,18/06/2007,663 296 6878,8172048.0
200007,Terrell,Kennler,Ella,Perrelle,23/06/2015,128 592 1639,2615888.0
200008,Waverly,MacCosto,Thekla,Farries,19/05/2006,221 366 5575,3737667.31
200009,Reggie,Bohey,Alessandra,Flukes,27/08/2010,509 928 2206,5255891.03
200010,Andros,Wynes,Loleta,Garard,01/06/2007,987 342 3805,8055449.73
200011,Rolf,Goodie,Tildie,Schmidt,15/10/2018,981 666 2153,3988973.96
200012,Wells,Warhurst,Tiffie,Kubis,18/11/2009,370 289 5608,6480461.9
200013,Ramsey,Wheatland,Netti,McCurley,18/04/2009,259 851 4508,1212814.45
200014,Fraze,Coleiro,Rosy,McGrane,13/11/2007,568 324 1405,8544720.0
200015,Thom,Romagnosi,Dorette,Dubble,17/02/2007,716 657 5500,5763947.0
200016,Talbert,Gladdish,Marin,Abramov,17/09/2005,543 327 6114,9669702.0
200017,Carny,Tackett,Theadora,Bolliver,08/10/2019,132 861 1738,4211910.0
200018,Shaw,Venturoli,Fayth,Ginie,30/03/2019,377 969 1322,2564322.31
200019,Barnabe,Burchard,Bab,McCrainor,21/09/2018,773 127 3298,2727507.38
200020,Kenn,Hammerstone,Karissa,While,29/09/2018,447 142 0511,4183751.28
200021,Brod,Brownlow,Ettie,Elwyn,04/08/2006,785 100 2214,3693433.0
200022,Byron,Dargavel,Martynne,Lanaway,03/07/2018,441 930 0745,8776059.0
200023,Flinn,Gullis,Joannes,Juszczak,16/02/2011,149 488 5681,2819422.37
200024,Ole,Stourton,Pepita,Pallaske,04/02/2020,860 707 6360,7431521.0
200025,Reynard,Menchenton,Leodora,Di Franceschi,20/10/2005,533 454 2031,4372777.0
200026,Lennard,Gillise,Tiff,Duigenan,10/09/2018,995 722 6164,2031756.52
200027,Jasun,Oboy,Haily,Coppledike,02/06/2012,966 555 0990,7307213.59
200028,Fitz,Girod,Kimmi,Brazelton,05/02/2020,892 568 4703,9486374.0
200029,Andras,Martindale,Mel,Ert,10/12/2019,957 119 6886,2192701.86
200030,Mead,Bahia,Bryn,Brosius,22/11/2009,542 786 5188,9652693.0
200031,Gabby,Stormont,Daryn,MacKowle,17/07/2014,519 865 8337,6081020.0
200032,Aldus,Cathel,Zabrina,Ovendon,01/10/2020,270 807 3674,7703722.59
200033,Jeno,Hallawell,Ninnetta,Plaid,29/05/2019,651 945 0581,910788.68
200034,Blaine,Blevin,Modestine,Roddy,27/05/2010,708 479 9019,1335140.11
200035,Angie,Daughtry,Shena,Maggiore,28/12/2011,175 611 2024,4188363.0
200036,Merrick,Feechum,Ronalda,Matashkin,11/02/2017,466 717 1167,1886668.33
200037,Tye,Haslock,Mirabella,Pennicott,25/11/2011,376 776 9968,8297539.06
200038,Gardner,Ferrarini,Darda,Scanlan,29/01/2007,798 756 6454,7344359.18
200039,Gerik,Zuanelli,Fara,Chomicki,25/06/2008,735 432 8001,3150789.0
200040,Daven,Mercey,Lynsey,Hendren,30/08/2005,937 221 3072,2154448.0
200041,Nobie,Howse,Tildy,Loram,27/05/2009,246 219 5170,1330164.99
200042,Nico,Cakebread,Modesta,Golde,26/09/2008,212 919 1232,1834059.0
200043,Phip,Plummer,Katey,Laboune,03/10/2018,715 900 0851,5228703.16
200044,Zachery,Antonik,Gianina,Pimm,24/09/2013,515 927 2154,7057314.0
200045,Paddie,Berkley,Adriena,Ferrulli,19/12/2015,377 268 5707,4187439.37
200046,Adelbert,Tschirasche,Clovis,Gottschalk,05/06/2012,646 210 5651,1487302.03
200047,Richy,Aspinwall,Ingrid,Adlard,11/08/2010,350 519 9452,8667886.0
200048,Murry,Laden,Rosie,Greatbatch,14/09/2017,698 549 9909,9833503.0
200049,Billy,Wonfor,Amaleta,Witherbed,26/09/2011,438 714 2139,6809303.52
200050,Ricardo,Gorini,Aggi,Redpath,02/06/2011,501 144 4340,9081020.0
